title,price,image,celebrity
MRUNAL THAKUR IN SWAY ANARKALI SET,84300.0,https://ridhimehra.com/cdn/shop/files/Mrunal_Thakur_51d0b0b4-7451-4e95-985d-c34ae7fea025.jpg?v=1755858336&width=1080,MRUNAL THAKUR
ESHA GUPTA IN SITARA SAREE SET,248200.0,https://ridhimehra.com/cdn/shop/files/IMG_6426_1.jpg?v=1740052283&width=1080,ESHA GUPTA
Sonali Bendre in Zarina Lehenga set,210800.0,https://ridhimehra.com/cdn/shop/files/449667181_2410914559108763_8747434401182339175_n.jpg?v=1753093388&width=1080,Sonali Bendre
Kriti Kharbanda's Haldi Crop Top Pant Set,165800.0,https://ridhimehra.com/cdn/shop/files/WhatsAppImage2024-03-24at6.49.56PM_4.jpg?v=1712819287&width=1080,Kriti Kharbanda's
Esha gupta in Saaja,83400.0,https://ridhimehra.com/cdn/shop/files/069A2175.jpg?v=1730873206&width=1080,Esha gupta
Mrunal Thakur In Flamboyance,83400.0,https://ridhimehra.com/cdn/shop/files/MT_0717.jpg?v=1740052340&width=1080,Mrunal Thakur
Kriti Kharbanda IN Asira,66500.0,https://ridhimehra.com/cdn/shop/products/2_2_a7783680-d128-4e92-8c03-b5b9802ec261.png?v=1740052492&width=1080,Kriti Kharbanda
Prerna Goel in Swarn Lehenga Set,309200.0,https://ridhimehra.com/cdn/shop/files/IMG_4018.jpg?v=1766144619&width=1080,Prerna Goel
Muskan Chanana in Meetha Lehenga Set,284800.0,https://ridhimehra.com/cdn/shop/files/image00001_1x_1.jpg?v=1766145048&width=1080,Muskan Chanana
Karma Dhingra in Floret Lehenga Set,102500.0,https://ridhimehra.com/cdn/shop/files/IMG_8309.jpg?v=1766145235&width=1080,Karma Dhingra
Sharnamli in Knot Saree Set,95200.0,https://ridhimehra.com/cdn/shop/files/IMG_7541.jpg?v=1766145354&width=1080,Sharnamli in
Parul Gulati in Naqaa Saree Set,89700.0,https://ridhimehra.com/cdn/shop/files/IMG_5390.jpg?v=1766145652&width=1080,Parul Gulati
Krithi shetty in weave Saree Set,114400.0,https://ridhimehra.com/cdn/shop/files/WhatsAppImage2025-06-24at11.43.54AM.jpg?v=1750858138&width=1080,Krithi shetty
Mira Rajput Kapoor in Twined Saree Set,95200.0,https://ridhimehra.com/cdn/shop/files/1_a8ba8b67-dc42-446e-bcb9-41fcb4f20334.jpg?v=1756793812&width=1080,Mira Rajput
Aditi Rao in Cajsa,83400.0,https://ridhimehra.com/cdn/shop/files/ASH_9641_1.jpg?v=1755858333&width=1080,Aditi Rao
SHANNO LEHENGA SET,341100.0,https://ridhimehra.com/cdn/shop/files/RM_875.jpg?v=1755858451&width=1080,SHANNO LEHENGA
Nimrat Kaur in Flamboyance Saree Set,,https://ridhimehra.com/cdn/shop/files/3_45d9d346-b0f2-413c-8714-2ad11dd04e41.png?v=1756356608&width=1080,Nimrat Kaur
Aditi Rao in Lien,79200.0,https://ridhimehra.com/cdn/shop/files/ADITI1Acopy.jpg?v=1723013974&width=1080,Aditi Rao
MADHURI DIXIT IN FINESSE,190200.0,https://ridhimehra.com/cdn/shop/files/02MadhuriDixit51037.jpg?v=1740052301&width=1080,MADHURI DIXIT
MEHFIL JACKET SET,272800.0,https://ridhimehra.com/cdn/shop/files/RM_444.jpg?v=1708601106&width=1080,MEHFIL JACKET
MEETHA LEHENGA SET,284800.0,https://ridhimehra.com/cdn/shop/files/RM_714.jpg?v=1738240737&width=1080,MEETHA LEHENGA
MILAN PANT SUIT SET,237500.0,https://ridhimehra.com/cdn/shop/files/RM_286.jpg?v=1744451023&width=1080,MILAN PANT
