title,price,image
PEMA,25200,https://ridhimehra.com/cdn/shop/files/RIDHI-MEHRA-Red_boota_cape_and_bustier_paired_with_pants.jpg?v=1755858601&width=1000
OLEANA,25200,https://ridhimehra.com/cdn/shop/files/RIDHI-MEHRA-Green_Multicolored_cape_and_bustier_paired_with_pants.jpg?v=1755858602&width=1000
CLEMENSIA,25200,https://ridhimehra.com/cdn/shop/files/Ridhi-mehra-Ivory_boota_printed_chanderi_sleeveless_shirt_paired_with_flared_pants_and_tie_up_belt.jpg?v=1755858603&width=1000
CORYMBIA,26200,https://ridhimehra.com/cdn/shop/files/RM21-041061.jpg?v=1755858605&width=1000
PALESA,26200,https://ridhimehra.com/cdn/shop/files/RIDHI-MEHRA-Dusky_pink_anchor_detailed_shirt_and_flared_pants_paired_with_anchor_detailed_belt.jpg?v=1755858606&width=1000
FIORALBA,26200,https://ridhimehra.com/cdn/shop/files/RM21-041345.jpg?v=1746708498&width=1000
FIORALBA,26200,https://ridhimehra.com/cdn/shop/files/Ridhi-mehra-Red_boota_printed_anchor_detailed_shirt_and_flared_pants_paired_with_anchor_detailed_belt.jpg?v=1746708500&width=1000
GRANCE,25000,https://ridhimehra.com/cdn/shop/files/RM-Black-Multicolored_cape_and_bustier_paired_with_pants_and_tie_up_belt.jpg?v=1755858608&width=1000
MARGUERITE,25000,https://ridhimehra.com/cdn/shop/files/RIDHI-MEHRA-Green_Multicolored_cape_and_bustier_paired_with_pants_and_tie_up_belt.jpg?v=1755858609&width=1000
SIERRA,25000,https://ridhimehra.com/cdn/shop/files/RIDHI-MEHRA-Black_cape_and_bustier_paired_with_pants_and_tie_up_belt.jpg?v=1755858611&width=1000
REMY,25000,https://ridhimehra.com/cdn/shop/files/RM21-041889-Copy.jpg?v=1755858612&width=1000
Arushi Mehra in Effie,23100,https://ridhimehra.com/cdn/shop/products/2_87883735-586d-46bb-9c84-f8456acd8fb9.jpg?v=1746708501&width=1000
Jemma in fuchsia,22800,https://ridhimehra.com/cdn/shop/products/19_fe19f598-2b9d-4a80-8072-910cbb6718d2.jpg?v=1755858801&width=1000
Emery,25000,https://ridhimehra.com/cdn/shop/products/70_cb814c18-706c-4a52-9490-b0a870a8236a.jpg?v=1755858808&width=1000
Micah,25000,https://ridhimehra.com/cdn/shop/products/78.jpg?v=1755858809&width=1000
Freyja,23100,https://ridhimehra.com/cdn/shop/products/87_afd2b182-3e37-4031-9277-198b0968c645.jpg?v=1746708507&width=1000
Jayleen,25000,https://ridhimehra.com/cdn/shop/products/RM-Multicoloured-printed_Chanderi_Peplum_top_paired_with_flared_pants.jpg?v=1746708508&width=1000
Reyna,23100,https://ridhimehra.com/cdn/shop/products/RIDHI-MEHRA-Multicoloured_printed_chanderi.jpg?v=1746708509&width=1000
Effie,23100,https://ridhimehra.com/cdn/shop/products/95_50ea9ad9-b71b-4e3c-bc98-d2e9d1a3a2ed.jpg?v=1755858811&width=1000
Jemma In Royal Blue,25000,https://ridhimehra.com/cdn/shop/products/RM-Royal-blue_achor_detailed_shirt_and_flared_pants_paired_with_anchor_detailed_belt.jpg?v=1746708510&width=1000
NOAH,5000,https://ridhimehra.com/cdn/shop/products/8_37b4e701-f52c-4aab-a4bc-59ac2760f272.png?v=1622297385&width=1000
